,Eg,FE,SE,DE,511
0,60.0,0.6983212132992643,0.0,0.0,0.0
1,70.0,0.6418308538534782,0.0,0.0,0.0
2,80.0,0.6237466266829241,0.0,0.0,0.0
3,90.0,0.5961646809866675,0.0,0.0,0.0
4,100.0,0.5748432868682738,0.0,0.0,0.0
5,110.0,0.560166951224097,0.0,0.0,0.0
6,120.0,0.5474129971840036,0.0,0.0,0.0
7,130.0,0.5372837554496965,0.0,0.0,0.0
8,140.0,0.5305499395539549,0.0,0.0,0.0
9,150.0,0.5223324714597483,0.0,0.0,0.0
10,160.0,0.5167673078782837,0.0,0.0,0.0
11,170.0,0.509987430409371,0.0,0.0,0.0
12,180.0,0.5060533445855542,0.0,0.0,0.0
13,190.0,0.5004816449205817,0.0,0.0,0.0
14,200.0,0.4942560903566619,0.0,0.0,0.0
15,210.0,0.48979305076429563,0.0,0.0,0.0
16,220.0,0.4850905757972174,0.0,0.0,0.0
17,230.0,0.47883906383818386,0.0,0.0,0.0
18,240.0,0.47400796722307453,0.0,0.0,0.0
19,250.0,0.4692810191425963,0.0,0.0,0.0
20,260.0,0.46433631395571734,0.0,0.0,0.0
21,270.0,0.45976256630810636,0.0,0.0,0.0
22,280.0,0.45532741397412485,0.0,0.0,0.0
23,290.0,0.4501801697323625,0.0,0.0,0.0
24,300.0,0.44566835395178184,0.0,0.0,0.0
25,310.0,0.4417180970285747,0.0,0.0,0.0
26,320.0,0.4369393344495018,0.0,0.0,0.0
27,330.0,0.43430141206490197,0.0,0.0,0.0
28,340.0,0.4280690537306005,0.0,0.0,0.0
29,350.0,0.42403746545699433,0.0,0.0,0.0
30,360.0,0.42055607509913645,0.0,0.0,0.0
31,370.0,0.41746898128865256,0.0,0.0,0.0
32,380.0,0.4139998728680249,0.0,0.0,0.0
33,390.0,0.4096536448886684,0.0,0.0,0.0
34,400.0,0.40671825197943057,0.0,0.0,0.0
35,410.0,0.4018335587462214,0.0,0.0,0.0
36,420.0,0.3996705646472915,0.0,0.0,0.0
37,430.0,0.3955160419255195,0.0,0.0,0.0
38,440.0,0.39355664727587103,0.0,0.0,0.0
39,450.0,0.3905223110411791,0.0,0.0,0.0
40,460.0,0.38782408970504934,0.0,0.0,0.0
41,470.0,0.3848547055729232,0.0,0.0,0.0
42,480.0,0.3820206569344814,0.0,0.0,0.0
43,490.0,0.3797100150470256,0.0,0.0,0.0
44,500.0,0.37850468175288415,0.0,0.0,0.0
45,510.0,0.3739102418336739,0.0,0.0,0.0
46,520.0,0.3718177298969106,0.0,0.0,0.0
47,530.0,0.3702399852413639,0.0,0.0,0.0
48,540.0,0.36866104365390756,0.0,0.0,0.0
49,550.0,0.3653973988325658,0.0,0.0,0.0
50,560.0,0.36468853943728463,0.0,0.0,0.0
51,570.0,0.3617778865596197,0.0,0.0,0.0
52,580.0,0.36077147947617877,0.0,0.0,0.0
53,590.0,0.35828713750620117,0.0,0.0,0.0
54,600.0,0.3556321670739721,0.0,0.0,0.0
55,610.0,0.35440518126953535,0.0,0.0,0.0
56,620.0,0.35327770104693945,0.0,0.0,0.0
57,630.0,0.3521953725929671,0.0,0.0,0.0
58,640.0,0.3480513469530676,0.0,0.0,0.0
59,650.0,0.347733910398112,0.0,0.0,0.0
60,660.0,0.345471075148233,0.0,0.0,0.0
61,670.0,0.34575461847201094,0.0,0.0,0.0
62,680.0,0.3422874419296247,0.0,0.0,0.0
63,690.0,0.34133653840778516,0.0,0.0,0.0
64,700.0,0.34022693707718693,0.0,0.0,0.0
65,710.0,0.33881511796663294,0.0,0.0,0.0
66,720.0,0.3382602739617744,0.0,0.0,0.0
67,730.0,0.3350913632576137,0.0,0.0,0.0
68,740.0,0.3361693512575609,0.0,0.0,0.0
69,750.0,0.33415350586761783,0.0,0.0,0.0
70,760.0,0.33332489680874594,0.0,0.0,0.0
71,770.0,0.3310770532023119,0.0,0.0,0.0
72,780.0,0.330041762018593,0.0,0.0,0.0
73,790.0,0.3287510869470682,0.0,0.0,0.0
74,800.0,0.3281456173927228,0.0,0.0,0.0
75,810.0,0.32587920027817474,0.0,0.0,0.0
76,820.0,0.3255862391647989,0.0,0.0,0.0
77,830.0,0.32451537442377776,0.0,0.0,0.0
78,840.0,0.32283428780229445,0.0,0.0,0.0
79,850.0,0.32280344680409034,0.0,0.0,0.0
80,860.0,0.3199870758079713,0.0,0.0,0.0
81,870.0,0.3198972261694062,0.0,0.0,0.0
82,880.0,0.31920979458411225,0.0,0.0,0.0
83,890.0,0.31820986930903056,0.0,0.0,0.0
84,900.0,0.3182360803457066,0.0,0.0,0.0
85,910.0,0.3171995685215447,0.0,0.0,0.0
86,920.0,0.3158424784240481,0.0,0.0,0.0
87,930.0,0.3153158141689187,0.0,0.0,0.0
88,940.0,0.31473137847839505,0.0,0.0,0.0
89,950.0,0.31535196405195776,0.0,0.0,0.0
90,960.0,0.31284242197458395,0.0,0.0,0.0
91,970.0,0.3133156677410287,0.0,0.0,0.0
92,980.0,0.31161382730032394,0.0,0.0,0.0
93,990.0,0.3097329692019096,0.0,0.0,0.0
94,1000.0,0.30885935043820995,0.0,0.0,0.0
95,1010.0,0.30842893311465497,0.0,0.0,0.0
96,1020.0,0.308730087941765,0.0,0.0,0.0
97,1030.0,0.3051031860287031,0.0031351295932964007,0.001806936177757993,0.00308640798475193
98,1040.0,0.30408698066178325,0.003121471684753452,0.0021049571849065976,0.0031362804287678706
99,1050.0,0.30299317975383877,0.0030278196108548478,0.002077335603261767,0.0031144192648799953
100,1060.0,0.3023105024613106,0.0029333661394841818,0.002452020241550871,0.0031050496873247283
101,1070.0,0.30217531373085676,0.003013775188359931,0.002803829163395812,0.0028783600022580743
102,1080.0,0.299961632549796,0.003038381887511032,0.0038692221760614626,0.0030404773232955225
103,1090.0,0.3007752248815532,0.00272672225404951,0.005442997296397681,0.0030077522488155322
104,1100.0,0.2995700913823356,0.002750664465947098,0.006294829939697737,0.002898729042961688
105,1110.0,0.298860632853539,0.0027371620852653833,0.00724151094649298,0.0028995184675092616
106,1120.0,0.2970345241439334,0.0027801465899978633,0.007731762466419956,0.0027739037458586464
107,1130.0,0.2967903237563075,0.002861980868692734,0.007774909566002359,0.0028879422336119355
108,1140.0,0.2953836028496101,0.0028019067436154408,0.007939597050702256,0.003159509005987607
109,1150.0,0.2953751239076464,0.002652415399380164,0.008776071169799842,0.0028813563864184205
110,1160.0,0.2941450577064644,0.002614439458655522,0.008741258742089973,0.0027041304022292724
111,1170.0,0.2934507328610731,0.0028640148437905533,0.008530209018371504,0.002953676337640779
112,1180.0,0.29369732898829637,0.002809806647050506,0.008100185914400817,0.002693545881354165
113,1190.0,0.2932396478946249,0.0026420947746968937,0.00780917747948903,0.002745847330001865
114,1200.0,0.292068090898326,0.002594039314283951,0.008107527702498871,0.002744939108189666
115,1210.0,0.2926860000146036,0.002693881207765972,0.007825960137367204,0.002849336767211844
116,1220.0,0.29048180934688983,0.002631656254354153,0.007209514110765564,0.0028611611602571314
117,1230.0,0.2902488855721169,0.002857213945239852,0.007704892423352007,0.0029602041695329377
118,1240.0,0.28840000803610677,0.002803577910806347,0.009685272419539427,0.0029501702198681166
119,1250.0,0.2879831580278123,0.002885704241541611,0.00915730145982538,0.0030406209955612137
120,1260.0,0.289099757096083,0.0029490856210728712,0.008819837678725169,0.0029612719252921807
121,1270.0,0.2856295202504351,0.002868639967089356,0.007996776599614525,0.003019407993578356
122,1280.0,0.28820266959352653,0.0031005182351951026,0.007785655959564234,0.0031176984209833414
123,1290.0,0.28705201052969676,0.0031818493440282486,0.0074938802833212845,0.003128415245411805
124,1300.0,0.2843861452629953,0.00307329950497085,0.006378660364552106,0.0029966183617082813
125,1310.0,0.286459130694481,0.003354881387888742,0.006273658410434997,0.0031806410756387415
126,1320.0,0.2844685329046044,0.003219525810690454,0.005588421129237209,0.003042562493175926
127,1330.0,0.28510489812579615,0.0033315199191971028,0.005069179569173739,0.003300346626865346
128,1340.0,0.2834849096666605,0.003282647171676871,0.005156006099209724,0.003307759221643799
129,1350.0,0.28359752375811154,0.0034078624876398966,0.004742332911602446,0.0033667555850234697
130,1360.0,0.28275108339058797,0.003574657210935428,0.004410044496446506,0.0034375936682827127
