,Eg,FE,SE,DE,511
0,200.0,0.4411809764417408,0.0,0.0,0.0
1,400.0,0.37550179577159654,0.0,0.0,0.0
2,600.0,0.3395894270366768,0.0,0.0,0.0
3,800.0,0.31879542210952067,0.0,0.0,0.0
4,1000.0,0.30338757858865356,0.0,0.0,0.0
5,1200.0,0.2916794760394008,0.00043644132024155553,0.0,0.0002490427872564808
6,1400.0,0.2811217158715313,0.001754337524987463,0.00035474925981614957,0.0009251515651132411
7,1600.0,0.2704014389967184,0.004360805310143417,0.0007280221938543916,0.002016625140903156
8,1800.0,0.26072601612314206,0.007782167979001984,0.0012863854616564198,0.0036891233282770114
9,2000.0,0.25042681100574904,0.01156992101842512,0.0018470054637847327,0.005523029728286301
10,2200.0,0.24085287797595445,0.015501087822014177,0.002638965682869731,0.007879089517335987
11,2400.0,0.23082796597229194,0.019970351637529804,0.0029336909570145454,0.009806801336255609
12,2600.0,0.2232200651094159,0.02413796325495294,0.0037574141635250517,0.012527249245598705
13,2800.0,0.21477255232112813,0.02803888012825879,0.00437976242776969,0.014345917559834982
14,3000.0,0.20631458495503235,0.03184734596904992,0.004899885463279896,0.01633040548790712
15,3200.0,0.1994809098184364,0.035507434117936144,0.005484981229089287,0.018533743944467905
16,3400.0,0.19207705752309834,0.0386899485350106,0.005928022581433074,0.020586474827375665
17,3600.0,0.18651067630373977,0.04118977786704259,0.0061108834890529215,0.021899225589022367
18,3800.0,0.17953953893089544,0.04469549703342967,0.006359638942299018,0.024563584598456898
19,4000.0,0.17423550673874383,0.04771729142155753,0.007232516713019727,0.025989621483589367
20,4200.0,0.1673982967332396,0.04920588603105737,0.007543877167679833,0.027789677801179614
21,4400.0,0.16208338191667385,0.05280158369236383,0.007625611649225411,0.02969366960380198
22,4600.0,0.15743118715424523,0.054045205730334285,0.007320479599062056,0.030534203485021786
23,4800.0,0.152354931923315,0.0554930052503293,0.007425380189372033,0.03213238292579224
24,5000.0,0.14779140437839253,0.0567097151609083,0.007870939537009368,0.03197247661602171
25,5200.0,0.1437797203231735,0.058006976268117384,0.007663293577750157,0.03424055817422905
26,5400.0,0.13687915719736274,0.05938905927236526,0.008225771761807688,0.035688418734386385
27,5600.0,0.13490321005898806,0.05967178650535044,0.00837993463706545,0.03711320491117943
28,5800.0,0.1295876944390348,0.06020777166392171,0.008228647541842282,0.03740523501843142
29,6000.0,0.12753586569587647,0.0612048581732908,0.00863219123080278,0.03714033505421138
30,6200.0,0.12352007717798481,0.06018319410471054,0.008092216564206368,0.039291337983763
31,6400.0,0.12003392948074602,0.06083960067442515,0.008811423690170562,0.03989784280152884
32,6600.0,0.11677210305237251,0.06148144069765089,0.00865017691058129,0.040435613126611356
33,6800.0,0.1128217844178963,0.0609857925608771,0.008436783604862455,0.04059280104970665
34,7000.0,0.11093826510544699,0.06088228847142409,0.007892730565331178,0.041737178312510136
35,7200.0,0.10782712215325964,0.061300313080813296,0.008328337043286825,0.04285427997158937
36,7400.0,0.105243202062561,0.05994900825835308,0.007520324389609514,0.0413772864148419
37,7600.0,0.10186314586940616,0.060497401353911275,0.00778347162944701,0.04293065720122181
38,7800.0,0.09937266625597349,0.05923134372476362,0.007701612273182418,0.04360943985919574
39,8000.0,0.09687042128063096,0.058788059117972066,0.007318451279102346,0.04414099674771864
40,8200.0,0.09501732982472115,0.058007250269503555,0.007972799715041421,0.04422901386875236
41,8400.0,0.09193831019693051,0.05699907678014866,0.007662083254316762,0.044698272673043875
42,8600.0,0.08977440711267168,0.05656074894136402,0.007368194883940536,0.04474024046708226
43,8800.0,0.08619013170012964,0.05570894213547957,0.0076070562141144485,0.04473200636263209
44,9000.0,0.08474452968708118,0.055180796130500046,0.007266362461389851,0.045416415329749556
45,9200.0,0.0816973585880494,0.05416498884361865,0.007076947802400915,0.045766225547842806
46,9400.0,0.08061563919010996,0.052729910788953394,0.007171919860012209,0.04516679530021325
47,9600.0,0.07910946849305671,0.05290652955765616,0.006690527087972003,0.0456113192634826
48,9800.0,0.07627990244009111,0.05119493431113401,0.006799908220571896,0.04628981744446375
49,10000.0,0.0751364790023398,0.05084085106146345,0.006742358124333143,0.046238822065255133
50,12000.0,0.057302758769277005,0.04211411262374038,0.005448800462373392,0.046791076258391406
51,14000.0,0.04484229748920317,0.03337697080291209,0.004694510849716922,0.04645327454992786
52,16000.0,0.03472749540010617,0.026077402589960143,0.003553826503972469,0.04647659272126793
53,18000.0,0.027265079779416588,0.020719696080727643,0.0027874401513793274,0.04550613224383363
54,20000.0,0.02113742993694936,0.016303091677529784,0.0026596944604499006,0.0449291648825544
