,Eg,FWHM,Eff_tot,FE,SE,DE,c511
96,1020.0,1.0953,1.0348,144370.0,0.0,0.0,0.0
97,1030.0,1.0914,1.0334,144030.0,1480.0,853.0,1457.0
98,1040.0,1.0876,1.0315,143740.0,1475.5,995.0,1482.5
99,1050.0,1.0839,1.03,143450.0,1433.5,983.5,1474.5
100,1060.0,1.0802,1.0297,143510.0,1392.5,1164.0,1474.0
101,1070.0,1.0765,1.0297,143930.0,1435.5,1335.5,1371.0
102,1080.0,1.073,1.0279,143150.0,1450.0,1846.5,1451.0
103,1090.0,1.0695,1.0269,143950.0,1305.0,2605.0,1439.5
104,1100.0,1.066,1.0248,143650.0,1319.0,3018.5,1390.0
105,1110.0,1.0626,1.0231,143580.0,1315.0,3479.0,1393.0
106,1120.0,1.0593,1.02,142740.0,1336.0,3715.5,1333.0
107,1130.0,1.056,1.0187,142900.0,1378.0,3743.5,1390.5
108,1140.0,1.0528,1.0205,142900.0,1355.5,3841.0,1528.5
109,1150.0,1.0496,1.0197,143210.0,1286.0,4255.0,1397.0
110,1160.0,1.0465,1.0174,142660.0,1268.0,4239.5,1311.5
111,1170.0,1.0434,1.0151,142370.0,1389.5,4138.5,1433.0
112,1180.0,1.0404,1.0142,142730.0,1365.5,3936.5,1309.0
113,1190.0,1.0374,1.013,142730.0,1286.0,3801.0,1336.5
114,1200.0,1.0344,1.0114,142260.0,1263.5,3949.0,1337.0
115,1210.0,1.0316,1.0127,143090.0,1317.0,3826.0,1393.0
116,1220.0,1.0287,1.0125,142390.0,1290.0,3534.0,1402.5
117,1230.0,1.0259,1.0094,142320.0,1401.0,3778.0,1451.5
118,1240.0,1.0231,1.0079,141650.0,1377.0,4757.0,1449.0
119,1250.0,1.0204,1.0105,142210.0,1425.0,4522.0,1501.5
120,1260.0,1.0177,1.0056,142340.0,1452.0,4342.5,1458.0
121,1270.0,1.0151,1.0067,141140.0,1417.5,3951.5,1492.0
122,1280.0,1.0125,1.0057,142590.0,1534.0,3852.0,1542.5
123,1290.0,1.0099,1.0062,142360.0,1578.0,3716.5,1551.5
124,1300.0,1.0074,1.003,140930.0,1523.0,3161.0,1485.0
125,1310.0,1.0049,1.0029,142210.0,1665.5,3114.5,1579.0
126,1320.0,1.0024,1.0022,141460.0,1601.0,2779.0,1513.0
127,1330.0,1.0,1.0,141760.0,1656.5,2520.5,1641.0
128,1340.0,0.99761,0.99859,141110.0,1634.0,2566.5,1646.5
129,1350.0,0.99525,0.99825,141430.0,1699.5,2365.0,1679.0
130,1360.0,0.99292,0.99795,141310.0,1786.5,2204.0,1718.0
131,1370.0,0.99062,0.997,140440.0,1814.0,2176.0,1668.5
132,1380.0,0.98835,0.99494,141340.0,1763.0,2017.0,1614.0
133,1390.0,0.98612,0.99589,141340.0,1806.0,1906.0,1731.0
134,1400.0,0.98391,0.99177,140790.0,1916.0,1848.0,1751.0
135,1410.0,0.98173,0.99175,141270.0,2042.5,2049.0,1881.5
136,1420.0,0.97958,0.99259,141080.0,1980.5,1779.5,1848.5
137,1430.0,0.97746,0.98998,141250.0,2089.0,1894.0,1791.5
138,1440.0,0.97536,0.98899,140800.0,2178.0,1741.5,1871.5
139,1450.0,0.9733,0.99054,141170.0,2305.5,1744.5,1889.5
140,1460.0,0.97126,0.98953,141400.0,2340.0,1724.0,1936.0
141,1470.0,0.96924,0.98809,141270.0,2321.5,1681.0,1895.5
142,1480.0,0.96725,0.98544,140900.0,2442.5,1603.5,1961.5
143,1490.0,0.96528,0.98676,141090.0,2541.0,1599.0,1974.5
144,1500.0,0.96334,0.98611,140250.0,2596.5,1506.5,2196.5
145,1510.0,0.96142,0.98598,140610.0,2653.5,1464.5,2120.0
146,1520.0,0.95953,0.98692,140190.0,2718.0,1450.0,2200.5
147,1530.0,0.95766,0.98834,141620.0,2801.0,2536.0,2496.0
148,1540.0,0.95581,0.98357,139940.0,2831.5,793.5,2231.0
149,1550.0,0.95398,0.9828,140700.0,2973.5,1359.0,2306.0
150,1560.0,0.95217,0.98092,140640.0,2961.0,1405.5,2446.5
151,1570.0,0.95039,0.98114,140230.0,3070.0,1399.5,2408.0
152,1580.0,0.94863,0.98092,141150.0,3099.5,1382.0,2370.0
153,1590.0,0.94688,0.97778,140110.0,3229.5,1442.0,2522.5
154,1600.0,0.94516,0.97976,140350.0,3325.5,1349.5,2460.5
155,1610.0,0.94346,0.97868,140940.0,3331.5,1405.5,2460.0
156,1620.0,0.94177,0.97931,140750.0,3465.5,1306.0,2627.5
157,1630.0,0.94011,0.9776,140390.0,3418.5,1340.0,2679.0
158,1640.0,0.93846,0.97858,140440.0,3730.5,1398.5,2662.5
159,1650.0,0.93684,0.97587,140340.0,3651.0,1317.5,2687.0
160,1660.0,0.93523,0.97614,140560.0,3738.0,1312.5,2825.0
161,1670.0,0.93364,0.97593,139980.0,3799.0,1402.5,2871.5
162,1680.0,0.93206,0.97292,139400.0,3911.0,1338.0,2905.0
163,1690.0,0.93051,0.97355,140060.0,4103.0,1324.5,2959.0
164,1700.0,0.92897,0.97273,140240.0,4109.0,1288.5,3081.5
165,1710.0,0.92745,0.97286,139630.0,4169.5,1276.0,3088.0
166,1720.0,0.92594,0.97218,139280.0,4429.5,1358.5,3357.0
167,1730.0,0.92445,0.97333,140320.0,4377.5,1421.5,3126.0
168,1740.0,0.92298,0.97099,139670.0,4637.0,1368.0,3227.5
169,1750.0,0.92152,0.97291,140090.0,4501.0,1462.0,3394.5
170,1760.0,0.92008,0.97048,139500.0,4565.0,1343.5,3409.5
171,1770.0,0.91865,0.96991,139710.0,4817.5,1440.0,3553.0
172,1780.0,0.91724,0.96935,139260.0,4846.0,1264.0,3325.5
173,1790.0,0.91584,0.96908,139670.0,5070.0,1367.0,3774.0
174,1800.0,0.91445,0.97003,140250.0,5118.5,1460.5,3701.0
